id,location,city,distinct,province_id,people,GDPTotal,GDPPerson
340100,合肥市,1,0,340000,808.74,7822.91,97470
340200,芜湖市,1,0,340000,374.82,3278.53,88085
340300,蚌埠市,1,0,340000,339.2,1714.66,50662
340400,淮南市,1,0,340000,348.95,1133.31,32487
340500,马鞍山市,1,0,340000,233.71,1918.1,82695
340600,淮北市,1,0,340000,225.41,985.19,43962
340700,铜陵市,1,0,340000,162.91,1222.36,75524
340800,安庆市,1,0,340000,469.13,1917.59,48579
341000,黄山市,1,0,340000,140.71,67791,41088
341100,滁州市,1,0,340000,411.42,1801.75,43999
341200,阜阳市,1,0,340000,820.72,1759.52,21589
341300,宿州市,1,0,340000,568.14,1630.22,28757
341500,六安市,1,0,340000,483.74,1288.05,26731
341600,亳州市,1,0,340000,523.72,1277.19,24547
341700,池州市,1,0,340000,147.45,684.93,46865
341800,宣城市,1,0,340000,264.83,1317.2,50065
350100,福州市,1,0,350000,774,7856.81,102037
350200,厦门市,1,0,350000,411,4791.41,118015
350300,莆田市,1,0,350000,290,2242.41,77325
350400,三明市,1,0,350000,258,2353.72,91406
350500,泉州市,1,0,350000,870,8467.98,97614
350600,漳州市,1,0,350000,514,3947.63,777102
350700,南平市,1,0,350000,269,1792.51,66760
350800,龙岩市,1,0,350000,264,2393.3,90655
350900,宁德市,1,0,350000,291,1942.8,66878
360100,南昌市,1,0,360000,546.35,5274.67,96543.79
360200,景德镇市,1,0,360000,166.49,846.6,50849.9
360300,萍乡市,1,0,360000,192.5,1009.05,52418.18
360400,九江市,1,0,360000,487.33,2700.19,55407.83
360500,新余市,1,0,360000,118.07,1027.34,87011.1
360600,鹰潭市,1,0,360000,116.75,819.98,70233.83
360700,赣州市,1,0,360000,863.56,2807.24,32507.76
360800,吉安市,1,0,360000,494.14,1742.23,35257.82
360900,宜春市,1,0,360000,555.37,2180.85,39268.42
361000,抚州市,1,0,360000,403.1,1382.4,34294.22
361100,上饶市,1,0,360000,678.34,2212.78,32620.51
