date,city,cityCode,confirmed,cured,dead
2020-01-21,杭州市,330100,1,0,0
2020-01-21,温州市,330300,2,0,0
2020-01-21,舟山市,330900,1,0,0
2020-01-21,台州市,331000,1,0,0
2020-01-21,合肥市,340100,0,0,0
2020-01-21,萍乡市,360300,1,0,0
2020-01-21,抚州市,361000,1,0,0
2020-01-21,青岛市,370200,1,0,0
2020-01-21,郑州市,410100,1,0,0
2020-01-21,长沙市,430100,1,0,0
2020-01-21,广州市,440100,2,0,0
2020-01-21,韶关市,440200,2,0,0
2020-01-21,深圳市,440300,14,0,0
2020-01-21,珠海市,440400,4,0,0
2020-01-21,佛山市,440600,1,0,0
2020-01-21,湛江市,440800,2,0,0
2020-01-21,惠州市,441300,1,0,0
2020-01-21,成都市,510100,1,0,0
2020-01-21,绵阳市,510700,0,0,0
2020-01-21,广安市,511600,1,0,0
2020-01-21,贵阳市,520100,0,0,0
2020-01-22,石家庄市,130100,1,0,0
2020-01-22,太原市,140100,1,0,0
2020-01-22,沈阳市,210100,1,0,0
2020-01-22,大连市,210200,1,0,0
2020-01-22,长春市,220100,1,0,0
2020-01-22,牡丹江市,231000,1,0,0
2020-01-22,苏州市,320500,1,0,0
2020-01-22,杭州市,330100,1,0,0
2020-01-22,宁波市,330200,3,0,0
2020-01-22,温州市,330300,4,0,0
2020-01-22,舟山市,330900,1,0,0
2020-01-22,台州市,331000,1,0,0
2020-01-22,合肥市,340100,1,0,0
2020-01-22,六安市,341500,0,0,0
2020-01-22,福州市,350100,1,0,0
2020-01-22,南昌市,360100,1,0,0
2020-01-22,萍乡市,360300,1,0,0
2020-01-22,抚州市,361000,1,0,0
2020-01-22,青岛市,370200,3,0,0
2020-01-22,威海市,371000,1,0,0
2020-01-22,临沂市,371300,2,0,0
2020-01-22,郑州市,410100,2,0,0
2020-01-22,洛阳市,410300,1,0,0
2020-01-22,三门峡市,411200,1,0,0
2020-01-22,长沙市,430100,1,0,0
2020-01-22,怀化市,431200,3,0,0
2020-01-22,广州市,440100,5,0,0
2020-01-22,韶关市,440200,2,0,0
2020-01-22,深圳市,440300,15,0,0
2020-01-22,珠海市,440400,4,0,0
2020-01-22,佛山市,440600,1,0,0
2020-01-22,湛江市,440800,2,0,0
2020-01-22,肇庆市,441200,1,0,0
2020-01-22,惠州市,441300,1,0,0
2020-01-22,中山市,442000,1,0,0
2020-01-22,柳州市,450200,0,0,0
2020-01-22,梧州市,450400,1,0,0
2020-01-22,北海市,450500,1,0,0
2020-01-22,海口市,460100,1,0,0
