id,moveIn_index_mean,moveIn_index_max,moveIn_index_min,moveIn_index_mean_before,moveIn_index_max_before,moveIn_index_min_before,moveIn_index_mean_after,moveIn_index_max_after,moveIn_index_min_after,moveOut_index_mean,moveOut_index_max,moveOut_index_min,moveOut_index_mean_before,moveOut_index_max_before,moveOut_index_min_before,moveOut_index_mean_after,moveOut_index_max_after,moveOut_index_min_after,travel_index_mean,travel_index_max,travel_index_min,travel_index_mean_before,travel_index_max_before,travel_index_min_before,travel_index_mean_after,travel_index_max_after,travel_index_min_after
231000,0.16701552000000003,0.5668056,0.0423792,0.45081,0.5668056,0.2687256,0.09606690000000001,0.3323268,0.0423792,0.15972264,0.3564648,0.0557604,0.2941884,0.3564648,0.2044116,0.12610620000000003,0.3458052,0.0557604,2.6652311111111104,5.2824,1.5355,4.834411111111112,5.2824,3.6237,2.1229361111111107,3.8661,1.5355
231100,0.09550439999999999,0.34506,0.0165888,0.27961199999999997,0.34506,0.1506924,0.04947750000000001,0.2150712,0.0165888,0.09526536000000005,0.2437776,0.0258552,0.2031804,0.2437776,0.1048788,0.06828660000000002,0.2188296,0.0258552,2.2311333333333327,4.8316,1.1116,4.445366666666668,4.8316,3.5221,1.677575,3.5804,1.1116
231200,0.46954152,2.0991636,0.0856332,1.47366,2.0991636,0.9901116,0.21851190000000006,1.1343888,0.0856332,0.43145999999999995,1.2558888,0.1512432,0.7040484,0.8694864,0.4713876,0.36331289999999994,1.2558888,0.1512432,2.7065466666666675,5.7058,1.6217,5.125122222222222,5.7058,3.924,2.1019027777777777,4.205,1.6217
232700,0.02405231999999999,0.089262,0.0025596,0.07325279999999999,0.089262,0.0325944,0.011752200000000004,0.0473364,0.0025596,0.02586312,0.0867024,0.0049248,0.06528600000000001,0.0867024,0.0293868,0.016007399999999998,0.0532656,0.0049248,2.3547911111111124,4.8178,1.4171,4.3193,4.8178,3.5403,1.8636638888888888,3.4894,1.4171
310000,3.6360280800000004,6.0462936,1.5252624,4.53501,6.0462936,1.9504476,3.4112826000000007,5.8599612,1.5252624,4.340442239999999,22.5761256,0.6071436,17.220279599999998,22.5761256,7.4295144,1.1204828999999998,4.1795352,0.6071436,2.6446355555555554,6.2951,1.4803,4.183144444444445,6.2951,1.7764,2.2600083333333334,3.8699,1.4803
320100,1.83508344,4.1066028,0.6078564,3.1915260000000005,4.1066028,1.629234,1.4959728000000003,3.3423516,0.6078564,1.9576310399999999,9.5041836,0.316872,6.904821599999999,9.5041836,4.159674,0.7208334000000001,2.9502792,0.316872,2.572446666666668,6.1542,1.3857,4.418922222222223,6.1542,2.2064,2.1108277777777773,3.7344,1.3857
320200,1.3758012000000002,2.558628,0.2742336,2.0251439999999996,2.4411456,1.2774996,1.2134655,2.558628,0.2742336,1.49660712,6.3557784,0.249642,5.114062800000001,6.3557784,2.5631964,0.5922432000000001,1.9544004,0.249642,2.8546200000000006,5.9663,1.4424,4.331333333333334,5.9663,2.4716,2.4854416666666665,4.5385,1.4424
320300,1.1415268800000005,4.5912744,0.2460132,3.5166707999999995,4.5912744,1.8553212,0.5477408999999999,1.9164276,0.2460132,1.0586448000000002,2.2808304,0.3751272,1.9036008,2.2808304,1.0937268,0.8474058000000001,1.8666612,0.3751272,3.250384444444444,6.291,1.601,5.693855555555555,6.291,3.7001,2.639516666666667,3.9814,1.601
320400,0.9572436,1.836108,0.2164968,1.5753347999999998,1.836108,1.0692324,0.8027207999999999,1.4851836,0.2164968,1.0464746400000002,4.5718668,0.1653048,3.496752,4.5718668,1.8492948,0.43390529999999994,1.4574168,0.1653048,2.720213333333333,6.076,1.3207,4.456933333333334,6.076,2.7425,2.2860333333333336,4.1673,1.3207
320500,2.7630878399999994,5.1918408,0.9588132,3.1475087999999998,4.1627196,1.7742564,2.6669826000000008,5.1918408,0.9588132,3.2048114399999994,16.1912844,0.4888512,12.0771828,16.1912844,4.7763756,0.9867185999999999,3.2365008,0.4888512,2.605542222222222,5.9167,1.3411,3.845044444444445,5.9167,1.6197,2.2956666666666674,4.1978,1.3411
